world,drift_shift,treatment_effect,method,n_replicates,reject_rate,reject_rate_mcse,effect_bias,effect_bias_mcse,effect_rmse,control_bias,control_bias_mcse,effect_coverage95,effect_coverage95_mcse,prior_ess,prior_ess_mcse,roc_auc,roc_auc_mcse,sensitivity,specificity,fpr,ppv,fpr_mcse,oracle_spearman,roc_auc_obs
alt,-1.2,0.15,selective_pro,2000,0.6215,0.010845223603042953,0.008984825330721013,0.0014457357147174383,0.06526055813495499,-0.004161950698472929,0.0003448001318591278,0.97,0.003814446224552132,5.957892940029941e-14,1.6015247613892832e-15,0.6475246472101129,0.0040625623994639,0.8180187783521469,0.43950141174850216,0.5604985882514979,0.48788774932360157,0.004118785128968416,0.3037497452946911,0.670423727204773
alt,-1.2,0.15,selective_pro_sam,2000,0.6215,0.010845223603042953,0.008984825330721013,0.0014457357147174383,0.06526055813495499,-0.004161950698472928,0.0003448001318591277,0.97,0.003814446224552132,4.3321832846256724e-14,1.2283358649217922e-15,0.6475246472101129,0.0040625623994639,0.8180187783521469,0.43950141174850216,0.5604985882514979,0.48788774932360157,0.004118785128968416,0.3037497452946911,0.670423727204773
alt,-1.2,0.15,robust_map_w0.5,2000,0.3165,0.010400186296408348,-0.0023998174144919454,0.0019822439632939674,0.08865896509955232,0.00722269204674003,0.001393623117806155,0.9655,0.00408103847078167,7.74986287393655,0.0790463085145262,0.5,0.0,1.0,0.0,1.0,0.39495833333333336,0.0,nan,0.5
alt,-1.2,0.15,power_prior,2000,0.858,0.00780499839846236,0.045305481784779604,0.0015405053478055007,0.08244105152324946,-0.04048260715253151,0.0006729603764705022,0.892,0.006940316995642202,228.9222,0.8955680150690998,0.5,0.0,1.0,0.0,1.0,0.39495833333333336,0.0,nan,0.5
alt,-1.2,0.15,uip_dirichlet,2000,0.4795,0.011170938859379725,0.023200717461646227,0.0018218202118619887,0.08469363630491082,-0.018377842829398142,0.0011592525743233423,0.9545,0.004659922209651143,16.436584531551205,0.15666888873488666,0.4987508747789794,0.0016421955824630372,0.9978900727924886,0.002341436540183183,0.9976585634598168,0.39501378100726636,0.00040108267284266183,0.08861813633754932,0.4987265450296496
alt,-1.2,0.15,uip_js,2000,0.3995,0.010952163028370241,0.008158412645209398,0.002206412247080472,0.0989858649000899,-0.0033355380129613133,0.0016914065162780664,0.9205,0.006048956521582876,9.401591857501316,0.05856839814323099,0.6817879883196608,0.005568470363795569,0.38432324084819075,0.7900282349700434,0.20997176502995663,0.5443813508667065,0.0033798972144275523,0.28832117016632053,0.7210968316360473
alt,-1.2,0.15,pooling,2000,0.8915,0.00695441406590088,0.050075959443506804,0.001549007688888523,0.08546374628951757,-0.04525308481125872,0.0007005232864033044,0.8615,0.007723915781519111,763.074,2.9852267168969995,0.5,0.0,1.0,0.0,1.0,0.39495833333333336,0.0,nan,0.5
alt,0.0,0.15,internal_only,2000,0.237,0.009508706536643142,-0.02104213955792995,0.002288258294998931,0.10444992848448295,0.026922569069500257,0.0018301795347575591,0.946,0.005053909377897473,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
alt,0.0,0.15,eb_only,2000,0.6315,0.010786745338608862,0.009689616946604083,0.001416839563477029,0.06408392887059002,-0.0038091874350337776,0.0003643272117174063,0.9745,0.00352489361541593,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
alt,0.0,0.15,rule,2000,0.309,0.010332448886880593,-0.00939764010519949,0.0018800720618521003,0.08458204823780702,0.015278069616769795,0.0012852041203485743,0.966,0.004052406692324946,18.99614107941898,0.09312354718127745,0.49167582410225574,0.005285720830963781,0.6979682071797031,0.2970811675329868,0.7029188324670133,0.790414878397711,0.006461276209073936,0.183192228626744,0.6606834227788259
