split_strategy,split_label,train_count,eval_count,method,nll_count,mean_nll,median_nll,min_nll,max_nll,mean_nll_minus_rule
rolling_origin,window_1,500,250,weak_only,250,3.2436144954686075,3.3322045101752025,0.6931471805599448,6.514712690872329,0.12436216716052506
rolling_origin,window_1,500,250,rule,250,3.1192523283080824,3.0311495809670315,0.26287259505163246,7.069008365014756,0.0
rolling_origin,window_1,500,250,fixed_discount,250,3.101701153341195,3.0417552906526604,0.28608151827134204,7.220760714394728,-0.017551174966887295
rolling_origin,window_1,500,250,commensurate_like,250,3.1618201118931935,3.0135659718616696,0.4570672071158039,7.069008365014756,0.04256778358511104
rolling_origin,window_1,500,250,rule_sam,250,2.953128296839549,3.0246887244369205,0.26287259505163263,6.43663752604211,-0.1661240314685335
rolling_origin,window_1,500,250,two_head_trained,250,2.992941055178642,3.0286951065063477,0.2169138789176941,6.5146484375,-0.12631127312944024
rolling_origin,window_2,750,250,weak_only,250,3.1957256244341834,3.295836866004329,0.6931471805599448,6.063785208687477,-0.0666550786880471
rolling_origin,window_2,750,250,rule,250,3.2623807031222305,3.271643755443245,0.36739592423091183,7.078809874663671,0.0
rolling_origin,window_2,750,250,fixed_discount,250,3.259793454343895,3.2278595626457993,0.3589822374315393,7.249718247736513,-0.0025872487783353826
rolling_origin,window_2,750,250,commensurate_like,250,3.2911243831041688,3.303119182371914,0.33449656669121586,7.095517124531617,0.028743679981938275
rolling_origin,window_2,750,250,rule_sam,250,3.0572819956418638,3.1010854143033413,0.36739592423091183,5.993316627074937,-0.20509870748036674
rolling_origin,window_2,750,250,two_head_trained,250,3.09368957644701,3.097737669944763,0.2232229858636856,6.144187927246094,-0.16869112667522046
rolling_origin,window_3,1000,250,weak_only,250,3.1314804338158666,3.2769667020129134,0.6931471805599448,5.998936561946493,0.03206350510756284
rolling_origin,window_3,1000,250,rule,250,3.0994169287083038,3.1420409737037827,0.3463146751625938,6.939019557051066,0.0
rolling_origin,window_3,1000,250,fixed_discount,250,3.0926885442884786,3.088539831239923,0.29554188570850354,6.901219854952524,-0.006728384419825151
rolling_origin,window_3,1000,250,commensurate_like,250,3.1183345747787214,3.0840729368874857,0.35699913630490293,7.0650327832043,0.018917646070417682
rolling_origin,window_3,1000,250,rule_sam,250,2.9272988985273387,2.9847881047639686,0.3463146751625938,5.880532986400567,-0.17211803018096505
rolling_origin,window_3,1000,250,two_head_trained,250,2.944949641406536,2.975908041000366,0.22330598533153534,6.953003406524658,-0.15446728730176762
rolling_origin,window_4,1250,164,weak_only,164,3.043167170169988,3.0677824455408658,0.6931471805599448,6.280395838960658,0.007151688934423195
rolling_origin,window_4,1250,164,rule,164,3.0360154812355646,3.0496940945591495,0.3400078914535205,6.127703389736009,0.0
rolling_origin,window_4,1250,164,fixed_discount,164,3.028073332024751,3.0118349451228257,0.27329333499968317,6.369048351094308,-0.00794214921081382
rolling_origin,window_4,1250,164,commensurate_like,164,3.089941604048323,3.042655786610278,0.3400078914535205,7.263046633837583,0.053926122812758326
