scenario,method,n_replicates,bias,bias_mcse,empirical_se,rmse,rmse_mcse,coverage95,coverage95_mcse,interval_width,interval_width_mcse,reject_rate,reject_rate_mcse,calibration_rate,calibration_rate_mcse,type1,type1_mcse,power,power_mcse,oracle_spearman,oracle_spearman_mcse,oracle_kl,oracle_kl_mcse,ess_d000_005,ess_d005_010,ess_d010_020,ess_d020_plus,prior_ess,prior_ess_mcse,hist_mass,hist_mass_mcse,mean_nll,mean_nll_mcse,roc_auc,roc_auc_mcse,pr_auc,pr_auc_mcse,sensitivity,specificity,fpr,ppv,npv,f1,sensitivity_mcse,specificity_mcse,fpr_mcse,ppv_mcse,roc_auc_obs,oracle_spearman_obs
S1_exchangeable,selective_pro_fixdisc,2000,0.005057848681355025,0.0013411096808812288,0.05997624823466956,0.06017419389085353,0.0011880242733159493,0.964,0.0041655731898503495,0.24279999098873595,0.001325115427766248,nan,nan,0.0225,0.0033161536454151216,0.0225,0.0033161536454151216,0.751,0.009669513948487793,0.2268180951254047,0.00723828249197186,2.1445997314402576,0.05630108360212932,15.286046511627898,15.382470906068159,15.445410764872506,15.348726114649699,16.250259757765612,0.0831430971839706,0.999999999999437,4.390173460579036e-14,2.776542924756479,0.012849983777605165,0.6459054335387274,0.004750504112247323,0.650276415033205,0.005929024341138358,0.760282239346393,0.4228588706629375,0.5771411293370625,0.517505055611729,0.6841976516634051,0.6158300432412108,0.0041134811896966095,0.004295119259029469,0.004295119259029469,0.003972332055073607,0.6696026446026445,0.26316871248210466
S1_exchangeable,selective_pro_sam,2000,0.002413122412170779,0.0012957457900729808,0.05794751336324715,0.057983260581027485,0.0012774188361517206,0.965,0.00410944035119139,0.22944534080100126,0.001382724615026123,nan,nan,0.02,0.0031304951684997056,0.02,0.0031304951684997056,0.7735,0.009359427065798419,0.19562187512187706,0.007104544592529756,2.1657123017478983,0.05614698012931917,43.674403388788534,43.949891210817015,44.12969661488357,43.85343561388948,41.89943386903748,0.24757077318232926,0.9553111618489463,0.003280682129605444,2.666079901771509,0.01282324831133324,0.6462245586143032,0.0047708605541088795,0.6503523531684249,0.005963993202901587,0.7760653606907436,0.4017688411822511,0.5982311588177489,0.5136729552018682,0.6878478063931668,0.6181777843514272,0.004016814494611753,0.0042624483816065175,0.0042624483816065175,0.003918084056855311,0.6712024399524399,0.23553225859931395
S1_exchangeable,robust_map_w0.5,2000,0.009833355864221065,0.001474817745151424,0.06595585465163091,0.06666854252942733,0.0012240313352532446,0.95,0.004873397172404485,0.2562897831038798,0.0013411935699142326,nan,nan,0.0345,0.004081038470781672,0.0345,0.004081038470781672,0.728,0.009950276378071114,nan,nan,1.0406677810822562,0.013948496719472488,nan,nan,nan,nan,5.523609390303632,0.10349942677658086,0.5,0.0,3.090924669892603,0.008832484724481497,0.5,0.0,0.568723359315387,0.005548735911357053,1.0,0.0,1.0,0.44879166666666664,nan,0.6195392712317735,0.0,0.0,0.0,0.0032105146692626907,0.5,nan
S1_exchangeable,robust_map_w0.9,2000,0.00947116548618563,0.001427929335739086,0.06385894123557433,0.06454167931815367,0.0011909577811341256,0.947,0.005009540897128201,0.24653891764705885,0.0012621268868614594,nan,nan,0.035,0.004109440351191388,0.035,0.004109440351191388,0.7445,0.009752429184567299,nan,nan,1.0406677810822562,0.013948496719472488,nan,nan,nan,nan,9.942496902546536,0.18629896819784555,0.9000000000000002,4.9663100392403566e-18,2.906117715504301,0.012882797049157258,0.5,0.0,0.568723359315387,0.005548735911357053,1.0,0.0,1.0,0.44879166666666664,nan,0.6195392712317735,0.0,0.0,0.0,0.0032105146692626907,0.5,nan
S1_exchangeable,power_prior,2000,0.008810714182024103,0.002524226548366585,0.1128868430551469,0.11320201544004069,0.002354213005993577,0.486,0.011175956334918278,0.12253368610763454,0.000462211686284115,nan,nan,0.334,0.010546184144039966,0.334,0.010546184144039966,0.8525,0.007929178709046731,nan,nan,1.0406677810822562,0.013948496719472488,nan,nan,nan,nan,157.81125,0.6064063848365511,1.0,0.0,3.3914912157420174,0.05414479280337657,0.5,0.0,0.568723359315387,0.005548735911357053,1.0,0.0,1.0,0.44879166666666664,nan,0.6195392712317735,0.0,0.0,0.0,0.0032105146692626907,0.5,nan
S1_exchangeable,uip_dirichlet,2000,0.006490355946370862,0.0014887312924828768,0.06657808740445668,0.06687712704568617,0.0012443272545246194,0.932,0.005629209535982825,0.23678242127659577,0.0012628140369969386,nan,nan,0.044,0.0045860658521220555,0.044,0.0045860658521220555,0.731,0.009915618992276781,0.22023414422609927,0.007145831684108033,0.9985359901607239,0.014329087185326245,nan,nan,nan,nan,21.000075535967095,0.20939118811587523,1.0,0.0,2.9653853593355524,0.021512105730751102,0.5012457483445504,0.003902544113849785,0.5679186764438352,0.005520261891219423,0.9632346114566892,0.03681306221180739,0.9631869377881926,0.44880391054202534,0.551528878822197,0.6123111425873465,0.0018132496688485174,0.0016371661488365,0.0016371661488364991,0.0032712643710751535,0.5016746079246079,0.19946995845757431
S1_exchangeable,uip_js,2000,0.0004365039935814323,0.0015329494497726593,0.06855558351525132,0.06853983245410987,0.0012565534008692244,0.908,0.006462816723379983,0.22010803466833542,0.0013442165510557126,nan,nan,0.0475,0.004756245893559331,0.0475,0.004756245893559331,0.7555,0.00961040451802108,0.3544028570360659,0.0066933255431016634,2.2716481530492647,0.04529076519371181,nan,nan,nan,nan,14.620952218127156,0.10129463250456594,1.0,0.0,2.413920030855309,0.009563847445388346,0.7420676697894971,0.004656132347161705,0.7252354038532434,0.005301430235350984,0.39402098226719895,0.7767782901201905,0.2232217098798095,0.5896901486730582,0.611557459977385,0.4723953695458593,0.004708260191243246,0.0036203724101392717,0.0036203724101392717,0.005798186188132715,0.7523467093779593,0.3745452050319031
S1_exchangeable,pooling,2000,0.00884312901825166,0.0028389335470708605,0.12696096789710087,0.12723690013717495,0.002658501674969207,0.2705,0.009933019430163217,0.07218518460575718,0.0002778567649250291,nan,nan,0.4745,0.011165790388503629,0.4745,0.011165790388503629,0.87,0.007519973404208289,nan,nan,1.0406677810822562,0.013948496719472488,nan,nan,nan,nan,526.0375,2.0213546161218368,1.0,0.0,3.536469038075565,0.06199682269466154,0.5,0.0,0.568723359315387,0.005548735911357053,1.0,0.0,1.0,0.44879166666666664,nan,0.6195392712317735,0.0,0.0,0.0,0.0032105146692626907,0.5,nan
S2_trap_heavy,weak_only,2000,0.008222919519039003,0.0015895383901205278,0.07108631786310161,0.07154267509994888,0.0012492052733502122,0.953,0.004732388403332932,0.26865088986232794,0.0014874899392059646,nan,nan,0.0295,0.003783500363420096,0.0295,0.003783500363420096,0.6735,0.010485650909695592,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.4932307487095358,0.005096728580404472,0.5,0.0,0.4084877024454025,0.005000916532518412,0.0,1.0,0.0,nan,0.7437083333333333,nan,0.0,0.0,0.0,nan,0.5,nan
S2_trap_heavy,eb_only,2000,2.6946441649436602e-05,0.001570655449091211,0.07024184706796817,0.07022428958053464,0.0012064536735225241,0.954,0.0046842288586276416,0.26476931339173965,0.0014259648367769483,nan,nan,0.0225,0.0033161536454151216,0.0225,0.0033161536454151216,0.661,0.010584871279330704,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.296681892599012,0.011150825243015626,0.5,0.0,0.4084877024454025,0.005000916532518412,0.0,1.0,0.0,nan,0.7437083333333333,nan,0.0,0.0,0.0,nan,0.5,nan
S2_trap_heavy,rule,2000,0.0037295637342582024,0.001512790670983972,0.0676540555209536,0.06773988735203174,0.0011702588303303515,0.9555,0.004610843198374891,0.2588193146433041,0.0014407866327354518,nan,nan,0.0245,0.003456859123539749,0.0245,0.003456859123539749,0.6875,0.010364452469860624,0.051004215897357784,0.007446941140641065,4.9888495241956745,0.11828687950867402,nan,nan,nan,nan,13.071478814487437,0.06214336604578586,0.8000000000000003,5.5674749973676564e-18,3.183574486093247,0.010533742410022029,0.5074871862770799,0.005146851624844764,0.4197864264317743,0.0050985139726029615,0.76459112339457,0.24561600089640875,0.7543839991035912,0.2588617349185381,0.7517146776406035,0.3867757720300999,0.0054094508574552,0.003221941251618216,0.0032219412516182166,0.0032496006013562,0.552289145976032,0.11363461642397345
S2_trap_heavy,rule_sam,2000,0.004275957369123882,0.001521718143496777,0.06805330422907147,0.06817052443548365,0.0012003919833580752,0.9555,0.004610843198374891,0.2582875061326658,0.0014444645423755042,nan,nan,0.025,0.0034910600109422352,0.025,0.0034910600109422352,0.6905,0.010337063170939801,0.051004215897357784,0.007446941140641065,4.9888495241956745,0.11828687950867402,nan,nan,nan,nan,12.319020029340452,0.07572016837130352,0.7535110642338272,0.0028458302153971473,3.1476132594766786,0.00899411660714214,0.5074871862770799,0.005146851624844764,0.4197864264317743,0.0050985139726029615,0.76459112339457,0.24561600089640875,0.7543839991035912,0.2588617349185381,0.7517146776406035,0.3867757720300999,0.0054094508574552,0.003221941251618216,0.0032219412516182166,0.0032496006013562,0.552289145976032,0.11363461642397345
S2_trap_heavy,two_head,2000,0.0027361653404459727,0.0014705261359400854,0.06576392805304256,0.06580439488833198,0.0011821660850429624,0.9495,0.0048964145045124596,0.2501339431789737,0.0015173696679947142,nan,nan,0.0275,0.0036567574434189644,0.0275,0.0036567574434189644,0.6975,0.010271167168340705,0.09800765395011884,0.0075051968585553635,5.03863583407106,0.11816920850443764,43.78053961086615,44.40485771747317,43.606767041146746,43.527450512634,35.809946379140165,0.1924685159542319,0.8000000000000003,5.400219934225196e-18,3.1175693681934646,0.012829391209001112,0.5673251434997889,0.005492989394292714,0.48363595753096766,0.005653062991022201,0.6841164038367745,0.37189758529889627,0.6281024147011037,0.27291004604708474,0.7735695140426524,0.3901715345387112,0.00592728316481112,0.0036175951770661546,0.0036175951770661546,0.0035873663427330705,0.6130553084258051,0.16403139473749898
