query_nct_id,scenario,candidate_count,top_candidate_nct_id,top_section_weighted_score,mean_section_weighted_score
NCT01149083,disease_endpoint_heavy,100,NCT02971501,0.8047530000000002,0.71566153
NCT01149083,regimen_result_heavy,100,NCT02971501,0.772473,0.6866534799999999
NCT01164228,default_secret_weights,100,NCT04175912,0.8377359999999999,0.76479048
NCT01164228,disease_endpoint_heavy,100,NCT04175912,0.893789,0.76887479
NCT01164228,regimen_result_heavy,100,NCT04175912,0.8071689999999998,0.7430516399999999
NCT01168921,default_secret_weights,100,NCT02159872,0.8603240000000001,0.7963917600000001
NCT01168921,disease_endpoint_heavy,100,NCT02159872,0.904062,0.80209224
NCT01168921,regimen_result_heavy,100,NCT02159872,0.830707,0.7798317899999999
NCT01174082,default_secret_weights,100,NCT04436029,0.7905820000000001,0.7368484399999999
NCT01174082,disease_endpoint_heavy,100,NCT03236428,0.8169120000000001,0.7394131300000001
NCT01174082,regimen_result_heavy,100,NCT04436029,0.7398429999999998,0.6966331299999999
NCT01178944,default_secret_weights,100,NCT03781960,0.8646920000000001,0.80090018
NCT01178944,disease_endpoint_heavy,100,NCT03781960,0.924326,0.82052141
NCT01178944,regimen_result_heavy,100,NCT02581982,0.825586,0.7703760599999999
NCT01185171,default_secret_weights,100,NCT04386746,0.8213320000000001,0.7747471400000001
NCT01185171,disease_endpoint_heavy,100,NCT04386746,0.850505,0.7791009699999999
NCT01185171,regimen_result_heavy,100,NCT02428855,0.7913239999999998,0.7458403699999999
NCT01202409,default_secret_weights,100,NCT03144804,0.8491000000000001,0.79138514
NCT01202409,disease_endpoint_heavy,100,NCT03144804,0.8849070000000001,0.79289749
NCT01202409,regimen_result_heavy,100,NCT03144804,0.828422,0.7780104899999999
NCT01207440,default_secret_weights,100,NCT04703192,0.808996,0.766457
NCT01207440,disease_endpoint_heavy,100,NCT01282424,0.828029,0.7542654799999999
NCT01207440,regimen_result_heavy,100,NCT04703192,0.7939819999999999,0.7593408299999999
NCT01222260,default_secret_weights,100,NCT03178201,0.8574240000000001,0.7910494200000001
NCT01222260,disease_endpoint_heavy,100,NCT03178201,0.9034699999999999,0.79475846
NCT01222260,regimen_result_heavy,100,NCT03178201,0.8308399999999999,0.7725368099999999
NCT01222767,default_secret_weights,100,NCT00900562,0.885046,0.79850726
NCT01222767,disease_endpoint_heavy,100,NCT00900562,0.9431880000000001,0.80685512
NCT01222767,regimen_result_heavy,100,NCT00900562,0.862683,0.7792858199999999
NCT01234766,default_secret_weights,100,NCT00980395,0.8104040000000001,0.7465139400000002
NCT01234766,disease_endpoint_heavy,100,NCT00980395,0.843905,0.7447785400000001
NCT01234766,regimen_result_heavy,100,NCT00980395,0.7732099999999998,0.7139608899999998
NCT01236547,default_secret_weights,100,NCT00956007,0.8026059999999999,0.7390702
NCT01236547,disease_endpoint_heavy,100,NCT00956007,0.839347,0.73547793
NCT01236547,regimen_result_heavy,100,NCT00956007,0.7676369999999999,0.71213878
NCT01239368,default_secret_weights,100,NCT03622775,0.75455,0.7120155800000001
NCT01239368,disease_endpoint_heavy,100,NCT03837509,0.776127,0.7126342
NCT01239368,regimen_result_heavy,100,NCT03622775,0.7181559999999998,0.6715802
NCT01243190,default_secret_weights,100,NCT01258933,0.864582,0.7931667800000001
NCT01243190,disease_endpoint_heavy,100,NCT01258933,0.901892,0.79855851
NCT01243190,regimen_result_heavy,100,NCT01258933,0.8431819999999999,0.7736151099999999
NCT01246063,default_secret_weights,100,NCT03512353,0.8014819999999999,0.75348282
NCT01246063,disease_endpoint_heavy,100,NCT02812706,0.8287140000000001,0.7494707700000001
NCT01246063,regimen_result_heavy,100,NCT03512353,0.7848439999999999,0.7322313199999999
NCT01253460,default_secret_weights,100,NCT04209621,0.8513120000000001,0.7897025000000001
NCT01253460,disease_endpoint_heavy,100,NCT02340780,0.898441,0.79961719
NCT01253460,regimen_result_heavy,100,NCT01263704,0.8255959999999999,0.7630268899999999
NCT01258933,default_secret_weights,100,NCT01243190,0.87207,0.78414642
NCT01258933,disease_endpoint_heavy,100,NCT01243190,0.905636,0.77995955
NCT01258933,regimen_result_heavy,100,NCT01243190,0.8469259999999998,0.7636879499999999
NCT01270321,default_secret_weights,100,NCT02885324,0.7963979999999999,0.7435745200000001
NCT01270321,disease_endpoint_heavy,100,NCT02885324,0.8260980000000001,0.7403309200000001
NCT01270321,regimen_result_heavy,100,NCT02352844,0.7646229999999998,0.7195552199999998
NCT01271725,default_secret_weights,100,NCT04305236,0.7772920000000001,0.72155426
NCT01271725,disease_endpoint_heavy,100,NCT04305236,0.794704,0.7158907600000001
NCT01271725,regimen_result_heavy,100,NCT04305236,0.7365439999999999,0.6907964099999999
NCT01274351,default_secret_weights,100,NCT02709083,0.840572,0.7742589400000002
NCT01274351,disease_endpoint_heavy,100,NCT02709083,0.8874479999999999,0.7686044599999999
NCT01274351,regimen_result_heavy,100,NCT03128411,0.8162710000000001,0.76044601
NCT01282424,default_secret_weights,100,NCT03213665,0.844264,0.7807659000000001
NCT01282424,disease_endpoint_heavy,100,NCT03213665,0.88592,0.78237892
NCT01282424,regimen_result_heavy,100,NCT03213665,0.8124849999999999,0.7623893199999999
NCT01284348,default_secret_weights,100,NCT05553808,0.7856340000000002,0.7418866600000001
NCT01284348,disease_endpoint_heavy,100,NCT05553808,0.819177,0.7458419500000001
NCT01284348,regimen_result_heavy,100,NCT05553808,0.754877,0.7176035999999999
NCT01295827,default_secret_weights,100,NCT02864394,0.8141000000000002,0.7444946200000001
NCT01295827,disease_endpoint_heavy,100,NCT01905657,0.8360850000000001,0.7316593
NCT01295827,regimen_result_heavy,100,NCT01905657,0.799805,0.7380471999999999
