p_comparable,method,n_replicates,reject_rate,reject_rate_mcse,effect_bias,effect_bias_mcse,effect_rmse,control_bias,control_bias_mcse,effect_coverage95,effect_coverage95_mcse,prior_ess,prior_ess_mcse,roc_auc,roc_auc_mcse,sensitivity,specificity,fpr,ppv,fpr_mcse,oracle_spearman,roc_auc_obs
0.25,uip_js,2000,0.077,0.0059611659933271445,0.017866662005172437,0.0020903351560125705,0.09515172220757126,-0.0086541422545223,0.0017112329999663723,0.8995,0.006723085229267885,9.500696894590718,0.057810961676941934,0.6054208691250574,0.006512073219154149,0.3726108740025979,0.7399924775670302,0.26000752243296976,0.29326712428800933,0.003215301879531894,0.15073476427499888,0.651604260520037
0.25,pooling,2000,0.241,0.00956344603163525,0.06317788890064241,0.001338259190187954,0.08701453917896039,-0.05396536914999228,0.0006201391859035235,0.7555,0.00961040451802108,758.721,2.9260753643778568,0.5,0.0,1.0,0.0,1.0,0.22454166666666667,0.0,nan,0.5
0.5,internal_only,2000,0.0205,0.00316857617866448,-0.014798415502949455,0.0021445915331332727,0.0970203046610749,0.027074438789778655,0.0017674410385006755,0.95,0.004873397172404485,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
0.5,eb_only,2000,0.019,0.003052785613173647,0.01603306967397474,0.0012489603950226241,0.058097362743693724,-0.003757046387145544,0.0003512302093375947,0.974,0.0035583704135460676,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
0.5,rule,2000,0.023,0.003351939736928455,0.00848044717278748,0.0017974771409605685,0.08081172690104899,0.003795576114041716,0.0013301053062703193,0.9655,0.00408103847078167,19.099426234379933,0.09112980134331633,0.6303236410591746,0.0040816447849516165,0.8181636126965055,0.3872832369942196,0.6127167630057804,0.487617115235424,0.00411508366917753,0.2794597911738924,0.6535489976465678
0.5,two_head,2000,0.029,0.003752265982043384,0.01614189612916921,0.0017220556509472745,0.07866731637026149,-0.0038658728423400118,0.0012292787268383498,0.962,0.004275277768753747,61.95738513838199,0.3693469007639523,0.6279706561692409,0.004106700022778885,0.7707019124862321,0.43081424391636336,0.5691857560836366,0.4910993428188605,0.004183179278796335,0.2812153645504077,0.6571703245958005
0.5,two_head_pro,2000,0.0325,0.003965081966365891,0.01822999595324861,0.0017099425530460494,0.0785952665136777,-0.005953972666419415,0.0012097568825505758,0.9595,0.004407933189148855,57.49759298119714,0.3171286489154472,0.6451442462245317,0.004314651712211553,0.779012716531491,0.42917291086847925,0.5708270891315208,0.49306039672983076,0.004181218634600626,0.2820503437648266,0.6752643619972027
0.5,two_head_pro_sam,2000,0.0325,0.003965081966365891,0.0159975278754488,0.0017986372872632259,0.08199315815543308,-0.0037215045886196054,0.0013370178288202826,0.955,0.004635461142108735,56.10213744392196,0.3431759537190185,0.6451442462245317,0.004314651712211553,0.779012716531491,0.42917291086847925,0.5708270891315208,0.49306039672983076,0.004181218634600626,0.2820503437648266,0.6752643619972027
0.5,two_head_pro_fixdisc,2000,0.0255,0.003524893615415932,0.012691823193648795,0.001756265236700554,0.07954202079204994,-0.00041579990681959756,0.001272225179591786,0.9655,0.00408103847078167,22.98262064284022,0.1598021003150057,0.607805917420459,0.004391458377173322,0.7043156102933814,0.4776279169342753,0.5223720830657247,0.4900376201755608,0.004219580435571603,0.2469070559226067,0.6382367970669574
0.5,selective_pro,2000,0.019,0.003052785613173647,0.016033069673974748,0.0012489603950226243,0.05809736274369375,-0.003757046387145551,0.00035123020933759577,0.974,0.0035583704135460676,6.09390838929083e-14,1.7672791059793658e-15,0.6379756529352596,0.004144823605587721,0.8024431761289677,0.43702276457575107,0.5629772354242489,0.503930076086273,0.0041901723433942365,0.30212016173735046,0.659457039379384
0.5,selective_pro_sam,2000,0.019,0.003052785613173647,0.016033069673974748,0.0012489603950226243,0.05809736274369375,-0.003757046387145552,0.00035123020933759577,0.974,0.0035583704135460676,4.773381852380454e-14,1.4229027907302785e-15,0.6379756529352596,0.004144823605587721,0.8024431761289677,0.43702276457575107,0.5629772354242489,0.503930076086273,0.0041901723433942365,0.30212016173735046,0.659457039379384
0.5,robust_map_w0.5,2000,0.0175,0.002932042803234632,0.0017646529092826648,0.001823846600819337,0.08156359745687669,0.01051137037754653,0.0013652248295945397,0.968,0.003935479640399632,9.742452357274702,0.11620527688020559,0.5,0.0,1.0,0.0,1.0,0.416125,0.0,nan,0.5
0.5,power_prior,2000,0.094,0.006525488487462069,0.038395135607203305,0.0013572610194399633,0.071809882541354,-0.026119112320374106,0.0006297479693150106,0.899,0.006737915107805974,229.23479999999998,0.8756086624428018,0.5,0.0,1.0,0.0,1.0,0.416125,0.0,nan,0.5
0.5,uip_dirichlet,2000,0.0345,0.004081038470781672,0.021835081802188336,0.0017144658180888131,0.07970330913492078,-0.009559058515359141,0.0012137501264802622,0.9575,0.004510751046111944,13.557083956123197,0.1241504882402711,0.5015741974268402,0.0016337139501518573,0.9973966156002804,0.002140869192892314,0.9978591308071076,0.4160123621784163,0.00039044882765680626,0.11044858706361473,0.5018289939366467
0.5,uip_js,2000,0.0645,0.005492711079239468,0.012374935969435182,0.0021183243485101205,0.09551569417212956,-9.891268260598852e-05,0.0017358518448039473,0.9135,0.006285608562422576,9.202879853405722,0.056218968240088575,0.6239641372391248,0.005496536193143367,0.3262240913187143,0.7745664739884393,0.22543352601156075,0.5077138849929874,0.0035299864518659584,0.20730597371127144,0.6733203487602911
0.5,pooling,2000,0.1375,0.00770044641563072,0.04225751343226734,0.0013672897251411392,0.07431547850373328,-0.029981490145438154,0.0006519083793702396,0.8545,0.007884470495854492,764.116,2.9186955414760054,0.5,0.0,1.0,0.0,1.0,0.416125,0.0,nan,0.5
0.75,internal_only,2000,0.015,0.0027179955849853765,-0.012506056264500938,0.002137062969967124,0.09636343020234733,0.023952952644344556,0.0017317774426849292,0.953,0.004732388403332932,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
0.75,eb_only,2000,0.0185,0.003013117156700018,0.015839460535192917,0.0012596792445323881,0.0585054298032089,-0.0043925641553493,0.0003460357206394604,0.975,0.003491060010942237,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
0.75,rule,2000,0.0135,0.0025804796065847916,0.003313516482410918,0.0017769566577862535,0.07951711604313466,0.008133379897432697,0.0012685368678250382,0.9715,0.003720735814324901,18.981716044225944,0.08762701748743576,0.6013891657410175,0.0041682914808344775,0.8278886663443608,0.3395651717256591,0.6604348282743409,0.6559233926128591,0.004853279143113579,0.31004001457562197,0.6771099858190278
0.75,two_head,2000,0.016,0.0028057084666800293,0.009164821930340022,0.001672692862858068,0.07534586177431395,0.0022820744495035926,0.00112176566593468,0.9705,0.0037835003634200943,61.991379607188925,0.372414197553156,0.6034301399463436,0.004090047107817552,0.7689757579943366,0.39796239890767776,0.6020376010923223,0.6601446697497925,0.005016392914687008,0.31865934205678403,0.6944576402258368
0.75,two_head_pro,2000,0.014,0.002627165773224065,0.009609624089742726,0.0016492454909928474,0.07436159118508076,0.0018372722901008913,0.001090529089966562,0.974,0.0035583704135460676,57.457408632596135,0.3157269986970485,0.6576833033430255,0.003947226031738546,0.7843773741280475,0.41697300703707596,0.583026992962924,0.6716938727229713,0.0050530898352029625,0.34320482260365087,0.745931089191782
0.75,two_head_pro_sam,2000,0.014,0.002627165773224065,0.008658640368246467,0.0016983073652328956,0.07642371110282738,0.002788256011597149,0.0011639210787124114,0.972,0.0036889022757454573,56.75186136118868,0.32307571031515203,0.6576833033430255,0.003947226031738546,0.7843773741280475,0.41697300703707596,0.583026992962924,0.6716938727229713,0.0050530898352029625,0.34320482260365087,0.745931089191782
0.75,two_head_pro_fixdisc,2000,0.0135,0.0025804796065847916,0.004852912524132016,0.0017144276712582121,0.07680583296650467,0.006593983855711601,0.001183669300063605,0.973,0.0036242930345103184,23.019825890777938,0.1598325246645374,0.6306565907839056,0.004071665442477537,0.7081980799778991,0.4903896649511606,0.5096103350488395,0.6788031245862571,0.005123284642371195,0.3492707061931578,0.7202878412811505
0.75,selective_pro,2000,0.0185,0.003013117156700018,0.01583946053519291,0.0012596792445323881,0.0585054298032089,-0.004392564155349294,0.00034603572063946083,0.975,0.003491060010942237,3.0200894664889366e-14,7.40774250197844e-16,0.6078227360056063,0.004128617948161404,0.8026106775329788,0.3948114693834681,0.6051885306165319,0.6685267215095207,0.005009552612253191,0.3411774808178054,0.6814450086695584
0.75,selective_pro_sam,2000,0.0185,0.003013117156700018,0.01583946053519291,0.0012596792445323881,0.0585054298032089,-0.004392564155349297,0.00034603572063946083,0.975,0.003491060010942237,2.4979329986942284e-14,6.366523097297984e-16,0.6078227360056063,0.004128617948161404,0.8026106775329788,0.3948114693834681,0.6051885306165319,0.6685267215095207,0.005009552612253191,0.3411774808178054,0.6814450086695584
0.75,robust_map_w0.5,2000,0.01,0.0022248595461286987,-0.0028360548213432974,0.0017824524729866174,0.07974421425434841,0.014282951201186913,0.0012853052862038016,0.9735,0.00359150038284837,10.801577192176316,0.13191776408961273,0.5,0.0,1.0,0.0,1.0,0.6032916666666667,0.0,nan,0.5
0.75,power_prior,2000,0.044,0.0045860658521220555,0.015313498417472326,0.0013461226512368359,0.0621030077527291,-0.00386660203762871,0.0006285750342244708,0.9405,0.005289600646551685,228.9441,0.8552970151281034,0.5,0.0,1.0,0.0,1.0,0.6032916666666667,0.0,nan,0.5
0.75,uip_dirichlet,2000,0.0195,0.0030919047527373806,0.013453553186152349,0.0017242800286354698,0.07825795925027533,-0.0020066568063087306,0.0012083800549977364,0.9705,0.0037835003634200943,12.662665137526783,0.12018644312470292,0.4995304580374025,0.0016585570817580968,0.9972373782719801,0.0017855267303854637,0.9982144732696145,0.6030572609948628,0.000432667054236284,0.21131986089352459,0.49938801396248866
0.75,uip_js,2000,0.059,0.0052687284993630104,0.01202494862984976,0.0021163571852507576,0.09538372970763927,-0.0005780522500061458,0.0017099531065595712,0.9125,0.006318375978050056,9.217503472773435,0.05619538561202794,0.6121193478832367,0.005004448505302359,0.31445541819186407,0.7723978573679235,0.22760214263207645,0.6775297619047619,0.00429702045144627,0.18640767310877676,0.6641957334788126
0.75,pooling,2000,0.062,0.005392402062161166,0.01728687207398701,0.0013529604594884914,0.06291271297580539,-0.005839975694143393,0.0006525506395786702,0.9205,0.006048956521582876,763.147,2.850990050427012,0.5,0.0,1.0,0.0,1.0,0.6032916666666667,0.0,nan,0.5
